Date,Title,Media Type,URL
2024-06-01,Stereo Helene,image,https://apod.nasa.gov/apod/image/2406/N00172886_92_beltramini.jpg
2024-06-02,Rotating Moon from LRO,video,https://www.youtube.com/embed/sNUNB6CMnE8?rel=0
2024-06-03,NGC 2403 in Camelopardalis,image,https://apod.nasa.gov/apod/image/2405/NGC2403-LRGB+Ha+Oiii-v25-f1024.jpg
2024-06-04,Comet Pons-Brooks Develops Opposing Tails,image,https://apod.nasa.gov/apod/image/2406/Comet12P_Ligustri_960.jpg
2024-06-05,Shadow of a Martian Robot,image,https://apod.nasa.gov/apod/image/2406/NeretvaVallis_PerseveranceNevT_960.jpg
2024-06-06,NGC 4565: Galaxy on Edge,image,https://apod.nasa.gov/apod/image/2406/278_lorand_fenyes_ngc4565_1024.jpg
2024-06-07,SH2-308: The Dolphin Head Nebula,image,https://apod.nasa.gov/apod/image/2406/DolphinNebulaHOO_1024.jpg
2024-06-08,Pandora's Cluster of Galaxies,image,https://apod.nasa.gov/apod/image/2406/abell2744_jwst1024.png
2024-06-09,How to Identify that Light in the Sky,image,https://apod.nasa.gov/apod/image/2406/astronomy101_hk_960.jpg
2024-06-10,Sh2-132: The Lion Nebula,image,https://apod.nasa.gov/apod/image/2406/LionNeb_Badr_960.jpg
2024-06-11,Colorful Stars and Clouds near Rho Ophiuchi,image,https://apod.nasa.gov/apod/image/2406/RhoAntares_Stocks_1080.jpg
2024-06-12,Aurora over Karkonosze Mountains,image,https://apod.nasa.gov/apod/image/2406/AuroraKarkonosze_Koszela_1080.jpg
2024-06-13,Messier 66 Close Up,image,https://apod.nasa.gov/apod/image/2406/heic1006a_M66_1024.jpg
2024-06-14,RCW 85,image,https://apod.nasa.gov/apod/image/2406/HaLRGB+v2Pugh1100c.jpg
2024-06-15,Prominences and Filaments on the Active Sun,image,https://apod.nasa.gov/apod/image/2406/Halpha_sondergaard1024.jpg
2024-06-16,Animation: Black Hole Destroys Star,video,https://www.youtube.com/embed/ubBzcSD8G8k?rel=0
2024-06-17,Ou4: The Giant Squid Nebula,image,https://apod.nasa.gov/apod/image/2406/SquidOu4_Linde_960.jpg
2024-06-18,Gigantic Jets over Himalayan Mountains,image,https://apod.nasa.gov/apod/image/2406/GiganticJets_Xuanhua_960.jpg
2024-06-19,NGC 6188: Dragons of Ara,image,https://apod.nasa.gov/apod/image/2406/AraDragons_Taylor_960.jpg
2024-06-20,Sandy and the Moon Halo,image,https://apod.nasa.gov/apod/image/2406/MoonHalo_pace.jpg
2024-06-21,Hubble's NGC 1546,image,https://apod.nasa.gov/apod/image/2406/NGC1546compassHST1024.jpg
2024-06-22,Lynds Dark Nebula 1251,image,https://apod.nasa.gov/apod/image/2406/LDN1251_1098c.png
2024-06-23,The Colors of Saturn from Cassini,image,https://apod.nasa.gov/apod/image/2406/SaturnColors_CassiniSchmidt_960.jpg
2024-06-24,JADES-GS-z14-0: A New Farthest Object,image,https://apod.nasa.gov/apod/image/2406/MostDistantGalaxy_Webb_960.jpg
2024-06-25,The Dark Doodad Nebula,image,https://apod.nasa.gov/apod/image/2406/Doodad_PughSung_1080.jpg
2024-06-26,"Timelapse: Aurora, SAR, and the Milky Way",video,https://www.youtube.com/embed/fisAZYNwDgk?rel=0
2024-06-27,Protostellar Outflows in Serpens,image,https://apod.nasa.gov/apod/image/2406/STScI-SerpNorth1024.png
2024-06-28,Comet 13P/Olbers,image,https://apod.nasa.gov/apod/image/2406/13P_Olbers_2024_06_24_215434PDT_DEBartlett1024.jpg
2024-06-29,A Solstice Moon,image,https://apod.nasa.gov/apod/image/2406/SolsMoon2024c1024.jpg
2024-06-30,Earthrise: A Video Reconstruction,video,https://www.youtube.com/embed/1R5QqhPq1Ik?rel=0
2024-07-01,Time Spiral,image,https://apod.nasa.gov/apod/image/2407/TimeSpiral_Budassi_960.jpg
2024-07-02,NGC 602: Oyster Star Cluster,image,https://apod.nasa.gov/apod/image/2407/Ngc602_Hubble_960.jpg
2024-07-03,M83: Star Streams and a Thousand Rubies,image,https://apod.nasa.gov/apod/image/2407/DeepM83ThousandRubyGalaxy1024.jpg
2024-07-04,A Beautiful Trifid,image,https://apod.nasa.gov/apod/image/2407/TrifidrecortesRGB1024.jpg
2024-07-06,NGC 7789: Caroline's Rose,image,https://apod.nasa.gov/apod/image/2407/NGC7789_difusco1024c.jpg
2024-07-07,Iridescent Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2407/IridescentClouds_Strand_960.jpg
2024-07-08,Exoplanet Zoo: Other Stars,image,https://apod.nasa.gov/apod/image/2407/ExoplanetZoo_Vargic_1080.jpg
2024-07-09,Noctilucent Clouds over Florida,image,https://apod.nasa.gov/apod/image/2407/NoctilucentFlorida_Pouquet_960.jpg
2024-07-10,A Sagittarius Triplet,image,https://apod.nasa.gov/apod/image/2407/sagittariusTri1024.jpg
